time,ir,red,x,y,z
2018-07-19-14-36-15-741298,13,46,-12,87,1231
2018-07-19-14-36-15-772557,0,0,-10,81,1239
2018-07-19-14-36-15-803761,1,0,-8,86,1233
2018-07-19-14-36-15-819626,0,0,-13,79,1243
2018-07-19-14-36-15-850883,0,0,-4,81,1235
2018-07-19-14-36-15-882258,0,0,-13,88,1232
2018-07-19-14-36-15-928738,0,3,-8,88,1235
2018-07-19-14-36-15-944664,0,0,-7,80,1238
2018-07-19-14-36-15-975634,0,0,-8,84,1235
2018-07-19-14-36-15-991537,0,0,-13,83,1239
2018-07-19-14-36-16-022549,1792,0,-10,83,1244
2018-07-19-14-36-16-053706,22409,65087,-8,86,1231
2018-07-19-14-36-16-069334,256,0,-4,83,1240
2018-07-19-14-36-16-100865,54020,0,-8,84,1238
2018-07-19-14-36-16-116620,27885,65087,-7,80,1235
2018-07-19-14-36-16-147461,63488,0,-8,84,1232
2018-07-19-14-36-16-163085,0,2,-4,81,1240
2018-07-19-14-36-16-194550,0,3,-8,87,1235
2018-07-19-14-36-16-225563,0,0,-10,87,1235
2018-07-19-14-36-16-241575,0,0,-8,88,1235
2018-07-19-14-36-16-272401,2,0,-4,84,1231
2018-07-19-14-36-16-304100,0,2,-8,83,1239
2018-07-19-14-36-16-319816,0,0,-8,88,1239
2018-07-19-14-36-16-350847,0,0,-4,83,1236
2018-07-19-14-36-16-381752,0,2,-9,81,1235
2018-07-19-14-36-16-397776,0,0,-10,83,1239
2018-07-19-14-36-16-428616,0,0,-8,83,1239
2018-07-19-14-36-16-460170,0,0,-10,83,1231
2018-07-19-14-36-16-475475,0,0,-9,83,1235
2018-07-19-14-36-16-491552,0,0,-8,81,1235
2018-07-19-14-36-16-522355,0,0,-8,81,1233
2018-07-19-14-36-16-537975,0,1,-8,83,1240
2018-07-19-14-36-16-569454,256,0,-8,88,1244
2018-07-19-14-36-16-600770,55300,0,-8,83,1233
2018-07-19-14-36-16-616449,27885,65087,-8,87,1240
2018-07-19-14-36-16-647604,63488,0,-10,88,1238
2018-07-19-14-36-16-678881,2,0,-10,83,1239
2018-07-19-14-36-16-694297,0,0,-10,87,1244
2018-07-19-14-36-16-725416,1,0,-8,84,1240
2018-07-19-14-36-16-741038,1,2,-7,87,1239
2018-07-19-14-36-16-772349,0,0,-8,84,1240
2018-07-19-14-36-16-803928,3,0,-4,81,1239
2018-07-19-14-36-16-835248,0,1,-4,80,1239
2018-07-19-14-36-16-850791,0,0,-8,81,1233
2018-07-19-14-36-16-897788,0,0,-13,83,1240
2018-07-19-14-36-16-928845,0,0,-10,86,1246
2018-07-19-14-36-16-944116,0,0,-10,81,1238
